Open,High,Low,Close,Adj Close,Volume
57593.33203125,57593.33203125,57593.33203125,57593.33203125,57593.33203125,33087488
57599.984375,57599.984375,57599.984375,57599.984375,57599.984375,19804160
57648.4609375,57648.4609375,57648.4609375,57648.4609375,57648.4609375,7909376
57650.68359375,57650.68359375,57650.68359375,57650.68359375,57650.68359375,16527360
57674.0078125,57674.0078125,57674.0078125,57674.0078125,57674.0078125,0
57667.83984375,57667.83984375,57667.83984375,57667.83984375,57667.83984375,8232960
57671.29296875,57671.29296875,57671.29296875,57671.29296875,57671.29296875,5578752
57676.94921875,57676.94921875,57676.94921875,57676.94921875,57676.94921875,0
57679.83984375,57679.83984375,57679.83984375,57679.83984375,57679.83984375,0
57669.0078125,57669.0078125,57669.0078125,57669.0078125,57669.0078125,0
